recording_id,source_file,label,window_start_packet,window_end_packet,window_start_s,window_end_s,lumos_total_log,lumos_clear_log,lumos_nir_clear_ratio,lumos_clear_std_ratio,lumos_visible_std_ratio,lumos_blue_red_ratio,lumos_green_red_ratio,lumos_dark_fraction,lumos_saturation_fraction,lumos_f1_clear_ratio,lumos_f2_clear_ratio,lumos_f3_clear_ratio,lumos_f4_clear_ratio,lumos_f5_clear_ratio,lumos_f6_clear_ratio,lumos_f7_clear_ratio,lumos_f8_clear_ratio,flicker_sensor_off_fraction,flicker_none_fraction,flicker_100hz_fraction,flicker_detected_fraction,audio_rms,audio_log_energy,audio_abs_mean,audio_std,audio_peak,audio_crest_factor,audio_silence_fraction,audio_zero_crossing_rate,audio_low_high_ratio,audio_spectral_centroid_hz,audio_low_band_log,audio_low_band_ratio,audio_mid_band_log,audio_mid_band_ratio,audio_high_band_log,audio_high_band_ratio,audio_very_high_band_log,audio_very_high_band_ratio
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,0,9,0.0,3.432,9.380308151245117,8.035746527163614,0.2315441064166005,0.1567219069978265,0.30085899423667667,0.5530910491943359,1.6511340141296387,0.0,0.0,0.18207655758696514,0.13818535306875238,0.21557059107294568,0.5140667770816353,0.4420060507794693,0.5349330939058436,0.21524680346623357,0.36379335994977335,0.0,1.0,0.0,0.0,0.011871139518916607,0.00014091403863858432,0.009795807301998138,0.011870497837662697,0.04168701171875,3.5116238450473554,0.2931279361957828,0.020175901815466978,90.85691989922317,730.2912924189632,6.008840991794373,0.9204177740186977,3.4543061772325423,0.06945181681640568,1.6086507327164825,0.009058983563818278,0.3870453864708315,0.001071425578408574
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,9,18,3.432,6.865,9.160590171813965,8.024971192755046,0.2560186285739239,0.07445946329256245,0.08511028608438265,0.450061559677124,0.8674875497817993,0.0,0.0,0.0790239305626938,0.1867772317946174,0.11084442467169144,0.23812641109597968,0.27420176521098033,0.3782093299477939,0.22376174074381133,0.3668267058302473,0.0,1.0,0.0,0.0,0.011283351108431816,0.00012730591697618365,0.008988339453935623,0.011283346451818943,0.03839111328125,3.4024536582952343,0.35431006227466405,0.02791485332410729,100.44463714949113,752.8278984898468,6.048965359505559,0.9154601783256632,3.5786348301000284,0.07542574446397413,1.4981824603351228,0.00752327810517405,0.5507095081079876,0.001590799083529839
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,18,27,6.865,10.297,9.11359691619873,7.975297234624005,0.24337855901949057,0.009212284562541551,0.04673459518349622,0.546580970287323,0.9523160457611084,0.0,0.0,0.06569845335652245,0.25629657485117985,0.07594114183216681,0.2669214649458713,0.294095170784433,0.330747182854866,0.20542710343293985,0.38368050102731804,0.0,1.0,0.0,0.0,0.011870220303535461,0.00014089219621382654,0.009861070662736893,0.011870218440890312,0.033416748046875,2.8151726792463383,0.2901962926545031,0.012746508367172279,163.12701342156274,587.8595221037956,5.9620468040898125,0.9340030394351788,3.2580677547248773,0.06027134210428093,1.1647699127411701,0.005316538313894612,0.1567281588171701,0.0004090801225363268
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,27,36,10.297,13.73,9.233318328857422,8.09159340919123,0.2570680031009359,0.10834301220091007,0.09996486542997067,0.3005135655403137,0.925341010093689,0.0,0.0,0.04909331957382849,0.1360528036717747,0.14101996541653772,0.2455346573733046,0.324567071096206,0.36338585375876215,0.21971217038986313,0.3963868873922318,0.0,1.0,0.0,0.0,0.012623854912817478,0.00015934901603031904,0.010795153677463531,0.012623806484043598,0.033599853515625,2.6616138359901034,0.23476819986161185,0.010889160005098604,163.3394550983822,611.5026013730449,6.1064317783360105,0.9455074089326515,3.180685335680376,0.04870398715420161,1.2496674627980233,0.005256551780738358,0.22470029557150992,0.0005320521112909088
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,36,45,13.73,17.162,9.32972240447998,8.201599270946865,0.2401865191334048,0.02575982434591604,0.0470932856325856,0.2107381820678711,0.7918323874473572,0.0,0.0,0.05110934808189981,0.0813117177361943,0.1991649292512785,0.18959526906138846,0.3079666078836771,0.39272218385002516,0.22205290044756293,0.40631476800495203,0.0,1.0,0.0,0.0,0.012438694015145302,0.00015470913785975426,0.010120540857315063,0.012438573874533176,0.0369873046875,2.973565786472968,0.3129939182053243,0.01729883278401952,193.55467797006207,646.2343653993207,6.016218182162095,0.9426158036054816,3.1691492189982737,0.05251417303205371,1.0578158498560237,0.004332710719547174,0.20957482250471635,0.0005373126198720591
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,45,54,17.162,20.594,9.343802452087402,8.213803237367655,0.23615835156661277,0.0661993105750881,0.03883885896814968,0.2587825357913971,0.8143327236175537,0.0,0.0,0.06584374335973336,0.09516784489204404,0.18085202304503184,0.201776305465607,0.30489234424039985,0.38934216058674187,0.21926839822026575,0.4029203554564753,0.0,1.0,0.0,0.0,0.011541938409209251,0.00013320747530087829,0.009413513354957104,0.011541731655597687,0.037567138671875,3.254835088493413,0.31190138023963,0.022124296665877598,104.39764946218558,708.8493908377461,6.037009325042105,0.951847984680478,2.8974043704937102,0.03903449217980754,1.496678376555919,0.007901300882948685,0.427642527554383,0.0012162222339745531
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,54,63,20.594,24.027,9.374176979064941,8.223597378155427,0.24357521553504016,0.04948316895971397,0.0722660956597688,0.21749714016914368,0.8238354325294495,0.0,0.0,0.03544809557748696,0.10041142557127217,0.24253175674995356,0.19390615156364105,0.32070238606503504,0.39937988267036895,0.22837039234644121,0.3962792960275799,0.0,1.0,0.0,0.0,0.01067952997982502,0.00011404584802221507,0.008519398979842663,0.010679337196052074,0.034881591796875,3.266207333159543,0.3805127644852325,0.02225176174954932,160.61889515608416,714.6412928438498,5.725644281461637,0.9473623158534851,2.777497510264791,0.04673948446730617,0.9251887357146248,0.0047188038395352535,0.3224367863437096,0.0011793958086765567
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,63,72,24.027,27.459,9.308938026428223,8.167824845742162,0.2409999352353256,0.026249025076750514,0.041957596659829476,0.28652673959732056,0.814233124256134,0.0,0.0,0.05005989370379372,0.12940545790702174,0.1813567848240703,0.20465291176419656,0.30534012004455857,0.39269275166153683,0.222117145244221,0.40423050854856574,0.0,1.0,0.0,0.0,0.010623885318636894,0.00011286057269899175,0.00884300097823143,0.010623885318636894,0.030120849609375,2.8351982682411894,0.321115117083652,0.019684250778447477,118.50012300513843,669.8965335729229,5.868819467415812,0.9410613564258299,3.0017303599226266,0.05099720577151317,1.3026917849471744,0.007145854846571739,0.2610456797338678,0.0007955829294134543
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,72,81,27.459,30.891,9.352957725524902,8.199006069041543,0.2394964530672384,0.05529195293981117,0.04985672956831587,0.2372921109199524,0.7930760383605957,0.0,0.0,0.05420600941773968,0.10098695679381317,0.19204326572964026,0.19445717292347484,0.3242277091527572,0.41186176354106885,0.22611300231078055,0.42790357543824453,0.0,1.0,0.0,0.0,0.012835872359573841,0.00016474603035021573,0.01056079100817442,0.012835794128477573,0.044097900390625,3.435517649297705,0.28657270840161697,0.018245716262723748,138.00411879703958,718.7770507027955,6.12454227108179,0.9504298986192494,3.0669239741142564,0.04268313375308234,1.353803487306056,0.005987148458658596,0.35883235743010855,0.0008998191481639468
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,81,90,30.891,34.324,9.364453315734863,8.192662678288105,0.24052890319822748,0.03666762684418786,0.038197114761962005,0.23885011672973633,0.7951194643974304,0.0,0.0,0.03736162445759866,0.12155597017387662,0.2150369052115123,0.19812424321135683,0.3309040552312623,0.4195264622193489,0.2289052867003079,0.43643912421950437,0.0,1.0,0.0,0.0,0.012325805611908436,0.00015191394777502865,0.01015394926071167,0.012325713410973549,0.057708740234375,4.6819408996042755,0.2924177865180815,0.02969936449551141,14.659057619180935,831.6227704057202,6.0011564296431485,0.8778983802630385,3.3861486785585795,0.062213842289649775,3.239522419712054,0.05343173684204923,1.376971836757195,0.00645604058347284
